feature,correlation,abs_correlation,p_value
niadj_over_icapt,0.07487610465495309,0.07487610465495309,1.436235607434877e-23
re_d_over_lct,0.07483709928428517,0.07483709928428517,1.514106671566903e-23
pi_over_at,0.07480651116647603,0.07480651116647603,1.578085620055941e-23
dpact_over_emp,0.07443341423206569,0.07443341423206569,2.6108494961626827e-23
sale_over_mktcap,0.07441206499954367,0.07441206499954367,2.6869564570956605e-23
revt_over_mktcap,0.07441206499954367,0.07441206499954367,2.6869564570956605e-23
fincf_over_icapt,-0.07440119991450495,0.07440119991450495,2.7265281849738606e-23
dpc_over_xsga,0.07429026703454408,0.07429026703454408,3.165079152671872e-23
ni_over_icapt,0.07425369549612393,0.07425369549612393,3.324435998398477e-23
icapt_over_mktcap,0.07376661003823562,0.07376661003823562,6.380548234848724e-23
ppegt_over_emp,0.07363519228688184,0.07363519228688184,7.602106164786104e-23
ppeveb_over_emp,0.07348728334370402,0.07348728334370402,9.255407914318017e-23
ib_over_act,0.07343504818513753,0.07343504818513753,9.920562366166335e-23
ap_over_xsga,0.0733192172702227,0.0733192172702227,1.1569038593550762e-22
ibc_over_act,0.0732365572753728,0.0732365572753728,1.2908500902562349e-22
at_over_mktcap,0.07322701302760522,0.07322701302760522,1.3072720919618502e-22
lse_over_mktcap,0.07322701302760522,0.07322701302760522,1.3072720919618502e-22
ebit_over_icapt,0.07314344290097716,0.07314344290097716,1.4601858172366256e-22
oiadp_over_icapt,0.07310751295056027,0.07310751295056027,1.5312515610836338e-22
oancf_over_lct,0.07297288630683679,0.07297288630683679,1.829311639971555e-22
ni_over_act,0.07279537779920481,0.07279537779920481,2.311620091898027e-22
dilavx_over_act,0.07254935464443449,0.07254935464443449,3.1942321442370715e-22
pi_over_lct,0.07253609324917483,0.07253609324917483,3.2503025059581523e-22
ebit_over_lct,0.07227086402916473,0.07227086402916473,4.600270607144561e-22
oiadp_over_lct,0.07222895985365484,0.07222895985365484,4.85923586852951e-22
ibcom_over_act,0.07216276273243331,0.07216276273243331,5.298016511736732e-22
ibadj_over_act,0.07214572768362011,0.07214572768362011,5.417134780645143e-22
oancf_over_act,0.07211861751748498,0.07211861751748498,5.612190584938164e-22
sstk_over_lct,-0.07201768438007883,0.07201768438007883,6.4014576309837975e-22
invrm_over_mktcap,0.07189802469088939,0.07189802469088939,7.480408761621059e-22
re_over_sale,0.07156129091161245,0.07156129091161245,1.1579543112938138e-21
reuna_over_emp,0.07153693414418331,0.07153693414418331,1.1950428419337981e-21
niadj_over_act,0.07152150930615135,0.07152150930615135,1.2191358303425863e-21
dpvieb_d_over_xsga,0.07147795634637538,0.07147795634637538,1.2897884499567919e-21
dpact_d_over_xsga,0.07147795634637538,0.07147795634637538,1.2897884499567919e-21
ebit_over_seq,0.07145743466963887,0.07145743466963887,1.3244685988371764e-21
reuna_over_sale,0.07144363861946862,0.07144363861946862,1.3482998429232822e-21
oiadp_over_seq,0.07136436097111912,0.07136436097111912,1.4936974518140473e-21
re_over_emp,0.07127437835550407,0.07127437835550407,1.6775878740861049e-21
oibdp_over_act,0.07087712201176558,0.07087712201176558,2.7960156012614502e-21
ebitda_over_act,0.07087712201176558,0.07087712201176558,2.7960156012614502e-21
ib_over_seq,0.07084986398277392,0.07084986398277392,2.8954583515141767e-21
dilavx_over_seq,0.07084138609876155,0.07084138609876155,2.927094709062893e-21
re_d_over_act,0.07081932030634398,0.07081932030634398,3.0110481437496297e-21
re_d_over_sale,0.07078960056051084,0.07078960056051084,3.127897587277007e-21
ibc_over_seq,0.07076467670512947,0.07076467670512947,3.229340405144949e-21
ibcom_over_seq,0.07056970825583632,0.07056970825583632,4.143603548596662e-21
reuna_d_over_sale,0.07047687910860284,0.07047687910860284,4.664678100608548e-21
