ticker,form_year,expected_return,Mkt-RF,SMB,HML,counter
ADCT,2008.0,-0.46698347158206677,-15.749999999999996,-5.889999999999999,-13.569999999999999,7
ADCT,2009.0,-0.06989708097175805,-25.159999999999997,8.780000000000001,-6.779999999999995,8
ADCT,2010.0,0.7197447454375746,15.919999999999998,8.559999999999999,10.479999999999997,9
ALO,2003.0,-0.05223856190019213,2.3000000000000016,3.329999999999999,-4.250000000000001,2
ALO,2004.0,-0.3037965189815803,18.590000000000003,13.179999999999998,7.089999999999999,3
ALO,2005.0,0.6342879236129265,5.81,-0.5800000000000001,13.14,4
ALO,2006.0,0.03556851235832756,5.550000000000001,4.19,7.519999999999999,5
ALO,2007.0,-0.16533518592265015,13.760000000000002,-2.93,-1.5399999999999991,6
ALO,2008.0,0.6363391105276383,-15.749999999999996,-5.889999999999999,-13.569999999999999,7
AEN,2003.0,0.3346954821967587,2.3000000000000016,3.329999999999999,-4.250000000000001,2
AEN,2004.0,0.24903174828217323,18.590000000000003,13.179999999999998,7.089999999999999,3
AAL,2003.0,0.09207253446296816,2.3000000000000016,3.329999999999999,-4.250000000000001,2
AAL,2004.0,-0.019672829615831094,18.590000000000003,13.179999999999998,7.089999999999999,3
AAL,2005.0,1.058558179753856,5.81,-0.5800000000000001,13.14,4
AAL,2006.0,-0.014158891666343869,5.550000000000001,4.19,7.519999999999999,5
AAL,2007.0,-0.8372346489433717,13.760000000000002,-2.93,-1.5399999999999991,6
AAL,2008.0,-0.2207577390603308,-15.749999999999996,-5.889999999999999,-13.569999999999999,7
AAL,2009.0,0.6857671318030432,-25.159999999999997,8.780000000000001,-6.779999999999995,8
AAL,2010.0,-0.20443978757110332,15.919999999999998,8.559999999999999,10.479999999999997,9
AAL,2011.0,-0.9353851104619647,28.770000000000003,6.780000000000001,-9.59,10
AAL,2014.0,-0.061878584779906896,23.040000000000003,0.7799999999999998,1.0500000000000005,13
AAL,2015.0,-0.2845809844959918,7.630000000000001,1.14,-10.51,14
AAL,2016.0,0.7897409057486295,2.480000000000001,-8.28,-1.5299999999999998,15
AAL,2017.0,-0.2520790669234377,17.96,5.220000000000001,4.650000000000002,16
AAL,2018.0,-0.15339407307053807,14.0,6.08,-6.69,17
AAL,2019.0,-0.607539088902207,8.079999999999998,-12.08,-11.370000000000001,18
AAL,2020.0,0.6221981458251697,8.790000000000003,-2.710000000000001,-32.08,19
AAL,2021.0,-0.40317010703870715,38.699999999999996,17.81,13.41,20
AAL,2022.0,0.37957709121525923,-15.35,-15.239999999999998,28.1,21
AAL,2023.0,-0.42286260082944305,16.52,-0.5300000000000009,-14.980000000000002,22
AAL,2024.0,0.4914116679397499,17.32,-13.89,4.389999999999999,23
CECO,2003.0,-0.012167259992310539,2.3000000000000016,3.329999999999999,-4.250000000000001,2
CECO,2004.0,0.6692934370287955,18.590000000000003,13.179999999999998,7.089999999999999,3
CECO,2005.0,1.5997285140824324,5.81,-0.5800000000000001,13.14,4
CECO,2006.0,0.3842580702719718,5.550000000000001,4.19,7.519999999999999,5
CECO,2007.0,-0.5184759512084317,13.760000000000002,-2.93,-1.5399999999999991,6
CECO,2008.0,-0.33019279575874527,-15.749999999999996,-5.889999999999999,-13.569999999999999,7
CECO,2009.0,0.18010402785170807,-25.159999999999997,8.780000000000001,-6.779999999999995,8
CECO,2010.0,0.43671477757568894,15.919999999999998,8.559999999999999,10.479999999999997,9
CECO,2011.0,0.18999683398240166,28.770000000000003,6.780000000000001,-9.59,10
CECO,2012.0,0.5831953168030715,5.379999999999999,-4.930000000000001,-4.280000000000001,11
CECO,2013.0,0.2846918117907783,20.31,0.6599999999999999,12.989999999999998,12
CECO,2014.0,-0.25832498452433883,23.040000000000003,0.7799999999999998,1.0500000000000005,13
CECO,2015.0,-0.2023778495016347,7.630000000000001,1.14,-10.51,14
CECO,2016.0,0.07378942067882004,2.480000000000001,-8.28,-1.5299999999999998,15
CECO,2017.0,-0.33799771600342526,17.96,5.220000000000001,4.650000000000002,16
CECO,2018.0,0.5395642268462678,14.0,6.08,-6.69,17
