ticker,form_year,alpha,beta_mkt,beta_smb,beta_hml,r_squared,n_years_used,years_range,mkt_rf,smb,hml,actual_excess_return,expected_return,prediction_error
RNAC,2024.0,-0.22830069319872293,-0.38251384854529114,-2.1496526054594973,-1.4514100217770325,0.5757013483554259,8,2017-2024,17.32,-13.89,4.389999999999999,-0.38389313742078773,-0.05968224482445489,-0.32421089259633284
TWLO,2024.0,0.4364891294441762,-0.5163196171562993,-0.8148036354385977,-1.886998389798747,0.2501367832480954,8,2017-2024,17.32,-13.89,4.389999999999999,0.8555013720536552,0.3773995674029615,0.4781018046506937
VVV,2024.0,0.3261115284686616,-1.85073847851868,1.262351623172286,-0.9024901943894418,0.5875609445625386,8,2017-2024,17.32,-13.89,4.389999999999999,-0.20948168546047208,-0.20939633600310079,-8.534945737129207e-05
JELD,2024.0,0.20932110385889618,-2.523971511119677,1.636691003938218,-0.9631952805743743,0.6262062804370578,7,2018-2024,17.32,-13.89,4.389999999999999,-0.4389631931020114,-0.4974514151312654,0.05848822202925402
PI,2024.0,0.5281494784987782,-2.2477900694346395,1.8072937474954465,-1.2062078747254468,0.36621882558257357,8,2017-2024,17.32,-13.89,4.389999999999999,-0.12040073439973545,-0.16515338875486588,0.04475265435513043
SYRS,2024.0,0.25386386730745075,-3.3882174379779744,2.073567627999956,-0.5837017244162357,0.30940501647232543,7,2017-2024,17.32,-13.89,4.389999999999999,-1.0024463439152531,-0.646618442181401,-0.35582790173385215
HGV,2024.0,0.368236449878505,-2.2172895286071035,1.8625784691341822,-1.1476310406047132,0.34850378319907305,7,2018-2024,17.32,-13.89,4.389999999999999,-0.08358748531233108,-0.3248912485215301,0.24130376320919905
PK,2024.0,0.2723675752566267,-1.8843441877668539,1.716882601099976,-1.7062980992930816,0.4505867959411839,7,2018-2024,17.32,-13.89,4.389999999999999,-0.04691526880036402,-0.3673823179163453,0.3204670491159813
KIDS,2024.0,0.18355079789492545,-2.0927478166308795,1.818098298875154,-1.0033197151119646,0.32244792463663585,9,2006-2024,17.32,-13.89,4.389999999999999,-0.24099960834852985,-0.47549271315271696,0.2344931048041871
TPIC,2024.0,0.342584941345615,-3.207702965634952,2.716555272793887,-1.930488461368609,0.46056117764453874,8,2017-2024,17.32,-13.89,4.389999999999999,-0.5732966607274776,-0.6750671831475115,0.10177052242003382
