strategy,n_years,first_year,last_year,avg_long_return,avg_short_return,avg_spread,avg_long_return_pct,avg_short_return_pct,avg_spread_pct,total_capital,avg_annual_pnl,total_pnl,total_return,total_return_pct,avg_portfolio_return,avg_annual_return_pct,spread_volatility,annualized_volatility_pct,sharpe_ratio_spread,sharpe_ratio_dollar,cagr,cagr_pct,max_drawdown,max_drawdown_pct,win_rate,win_rate_pct,positive_years,total_years,avg_stocks_long,avg_stocks_short,model,model_id,avg_long_stopped_out,avg_long_stopped_pct,avg_short_stopped_out,avg_short_stopped_pct,avg_stopped_out,avg_stopped_pct,avg_long_months_held,avg_short_months_held
Annual Stop Loss,12,2013,2024,0.07632637575555366,0.18446972403089001,-0.1081433482753363,7.632637575555366,18.446972403089003,-10.81433482753363,1000000,130398.04989322186,3234675.2032221304,3.234675203222131,323.4675203222131,0.13039804989322182,13.039804989322182,0.4591237038949766,8.00549803486045,-0.23554294269257295,1.628856185154193,0.12780757912506568,12.78075791250657,-0.022685414010556033,-2.2685414010556033,0.9166666666666666,91.66666666666666,11,12,281.1666666666667,100.0,LightGBM,lightgbm,42.916666666666664,15.124969630776908,15.583333333333334,15.583333333333334,58.5,15.347616965456929,,
Monthly Stop Loss,12,2013,2024,0.070775831208067,0.1910116229832259,-0.1202357917751589,7.0775831208067,19.101162298322592,-12.02357917751589,1000000,130893.72709564648,3071689.429093169,3.071689429093169,307.1689429093169,0.13089372709564645,13.089372709564644,0.6049070031670143,12.867515057648271,-0.1987673991963388,1.0172416858206437,0.12412486355371133,12.412486355371133,-0.06531216594670906,-6.531216594670906,0.8333333333333334,83.33333333333334,10,12,281.1666666666667,100.0,LightGBM,lightgbm,65.16666666666667,23.09374745926709,37.583333333333336,37.583333333333336,102.75,26.956711849584607,10.74924034474307,9.878333333333332
Fixed 100/100,12,2013,2024,0.013325324098657972,0.04540345509020873,-0.032078130991550775,1.3325324098657971,4.540345509020873,-3.2078130991550777,1000000,29364.389594433345,357948.8277889504,0.35794882778895043,35.794882778895044,0.029364389594433344,2.9364389594433344,0.6620952183909522,8.745975484085195,-0.048449422530958935,0.3357474491881083,0.025825798742171946,2.5825798742171946,-0.14229366053342637,-14.229366053342638,0.75,75.0,9,12,100.0,100.0,CatBoost,catboost,,,,,,,,
Decile 10%/10%,12,2013,2024,0.05400301346288342,-0.009886371285580979,0.06388938474846441,5.400301346288342,-0.9886371285580978,6.388938474846441,1000000,22058.321088651228,248636.39948918764,0.2486363994891876,24.86363994891876,0.02205832108865123,2.205832108865123,0.6589446122151237,8.353002631367417,0.09695713958976362,0.2640765490222311,0.018676605831261073,1.8676605831261073,-0.1860032410159445,-18.600324101594452,0.75,75.0,9,12,281.1666666666667,281.1666666666667,CatBoost,catboost,,,,,,,,
Hybrid 10%/100,12,2013,2024,0.05400301346288342,0.04540345509020873,0.008599558372674726,5.400301346288342,4.540345509020873,0.8599558372674726,1000000,49556.86792599538,637287.2532673832,0.6372872532673832,63.72872532673832,0.049556867925995375,4.955686792599537,0.6512514119152464,12.86802097336083,0.01320466752983235,0.3851164684032394,0.04194246915979338,4.194246915979338,-0.20527917855002262,-20.52791785500226,0.75,75.0,9,12,281.1666666666667,100.0,CatBoost,catboost,,,,,,,,
Hybrid 10%/100 (50% L/S),12,2013,2024,0.05400301346288342,0.04540345509020873,0.008599558372674726,5.400301346288342,4.540345509020873,0.8599558372674726,1000000,49703.234276546085,719739.3478491742,0.7197393478491743,71.97393478491743,0.049703234276546084,4.970323427654608,0.6512514119152464,8.822940275906474,0.01320466752983235,0.5633409353600044,0.0462172723763421,4.62172723763421,-0.12085248203688126,-12.085248203688126,0.8333333333333334,83.33333333333334,10,12,281.1666666666667,100.0,CatBoost,catboost,,,,,,,,
Annual Stop Loss,12,2013,2024,0.08156584561646948,0.23293129731233822,-0.15136545169586876,8.156584561646948,23.293129731233822,-15.136545169586876,1000000,157248.57146440385,4663385.384170523,4.663385384170523,466.3385384170523,0.15724857146440388,15.724857146440389,0.44965435178978275,6.637472734693844,-0.3366262354481413,2.3691030871203576,0.155463797696209,15.546379769620899,0.0,0.0,1.0,100.0,12,12,281.1666666666667,100.0,CatBoost,catboost,38.5,13.525215048524686,14.916666666666666,14.916666666666666,53.416666666666664,14.013992129427196,,
Monthly Stop Loss,12,2013,2024,0.0825546232642848,0.25541490707796716,-0.17286028381368237,8.25546232642848,25.541490707796715,-17.286028381368236,1000000,168984.76517112597,5080665.396937534,5.080665396937534,508.06653969375344,0.16898476517112596,16.898476517112595,0.6507483055928794,13.171654841544205,-0.26563309090170273,1.282942555085316,0.16232949589334456,16.232949589334456,-0.009941076669292356,-0.9941076669292356,0.8333333333333334,83.33333333333334,10,12,281.1666666666667,100.0,CatBoost,catboost,55.0,19.40628728108174,36.75,36.75,91.75,24.070835155225183,10.982417164145756,9.8775
Fixed 100/100,12,2013,2024,0.11717809544585807,0.0003574572680815705,0.1168206381777765,11.717809544585807,0.03574572680815705,11.682063817777651,1000000,58767.77635696982,920093.7265769644,0.9200937265769644,92.00937265769645,0.05876777635696983,5.876777635696983,0.643230465650872,8.31170399793618,0.18161552416452792,0.7070484749163595,0.055869396485139555,5.5869396485139555,-0.03139808155773746,-3.1398081557737463,0.75,75.0,9,12,100.0,100.0,LSTM,lstm,,,,,,,,
Decile 10%/10%,12,2013,2024,0.10346440332052947,0.010663444197072047,0.09280095912345748,10.346440332052948,1.0663444197072047,9.280095912345748,1000000,57063.92375880076,909764.2380974158,0.9097642380974158,90.97642380974158,0.05706392375880077,5.7063923758800765,0.5704191938655953,6.30204665434634,0.16268905415781584,0.9054824073611931,0.05539487208906979,5.539487208906979,-0.0005332972262399422,-0.05332972262399422,0.8333333333333334,83.33333333333334,10,12,281.1666666666667,281.1666666666667,LSTM,lstm,,,,,,,,
