feature,ranking
cstkcv_over_lct_d,14
cstkcv_over_dltt_d,14
cstkcv_over_seq_d,14
cstkcv_over_icapt_d,3
cstkcv_over_sale_d,14
cstkcv_over_cogs_d,14
cstkcv_over_xsga_d,14
cstkcv_over_mktcap,14
cstkcv_d_over_invt,2
cstkcv_d_over_dltt,14
cstkcv_pd_minus_pd_dltt,14
cstke_over_invt_d,14
cstke_over_dltt_d,14
cstke_over_xsga,14
cstke_d_over_ceq,14
dc_over_at_d,14
dc_over_act_d,14
dc_over_invt,14
dc_over_invt_d,6
dc_over_ppent_d,14
dc_over_lt_d,7
dc_over_lct_d,5
dc_over_dltt,14
dc_over_dltt_d,14
dc_over_seq_d,14
dc_over_cogs_d,14
dc_over_xsga,14
dc_over_xsga_d,14
dc_over_emp_d,14
dc_over_mktcap_d,14
dc_d_over_xsga,14
dclo,14
dclo_over_act_d,14
dclo_over_invt_d,14
dclo_over_ppent_d,14
dclo_over_lt_d,14
dclo_over_dltt_d,14
dclo_over_seq_d,14
dclo_over_sale_d,14
dclo_over_emp_d,14
dcom_over_invt,5
dcom_over_ppent,14
dcom_over_ppent_d,14
dcom_over_dltt,2
dcom_over_dltt_d,2
dcom_over_ceq_d,14
dcom_over_mktcap_d,14
dcom_d_over_invt,14
dcom_d_over_dltt,14
dcpstk_over_at_d,14
dcpstk_over_act_d,14
dcpstk_over_invt,14
dcpstk_over_invt_d,14
dcpstk_over_lt_d,15
dcpstk_over_lct_d,15
dcpstk_over_dltt_d,15
dcpstk_over_ceq,15
dcpstk_over_seq_d,4
dcpstk_over_cogs_d,15
dcpstk_over_xsga_d,15
dcpstk_over_emp_d,15
dcpstk_d_over_mktcap,15
dcvsr_over_at_d,15
dcvsr_over_act_d,15
dcvsr_over_invt,15
dcvsr_over_invt_d,15
dcvsr_over_ppent_d,15
dcvsr_over_lt_d,15
dcvsr_over_lct_d,15
dcvsr_over_dltt,15
dcvsr_over_dltt_d,15
dcvsr_over_ceq_d,15
dcvsr_over_sale,15
dcvsr_over_cogs_d,15
dcvsr_over_xsga_d,15
dcvsr_over_emp_d,15
dcvsr_over_mktcap_d,15
dcvsub_over_at_d,4
dcvsub_over_invt,15
dcvsub_over_invt_d,6
dcvsub_over_ppent_d,15
dcvsub_over_lt_d,15
dcvsub_over_lct_d,15
dcvsub_over_dltt,15
dcvsub_over_dltt_d,15
dcvsub_over_ceq_d,15
dcvsub_over_cogs_d,16
dcvsub_over_xsga,16
dcvsub_over_xsga_d,16
dcvsub_over_emp_d,15
dcvsub_over_mktcap_d,16
dcvsub_d_over_seq,16
dcvt_over_act_d,16
dcvt_over_invt,16
dcvt_over_invt_d,16
dcvt_over_ppent_d,16
dcvt_over_lt_d,16
dcvt_over_lct_d,16
dcvt_over_dltt,4
dcvt_over_dltt_d,16
dcvt_over_ceq_d,16
dcvt_over_icapt_d,6
dcvt_over_sale_d,16
dcvt_over_xsga,16
dcvt_over_xsga_d,16
dcvt_over_emp_d,16
dcvt_d_over_mktcap,16
dd_over_at_d,3
dd_over_act_d,16
dd_over_invt,16
dd_over_invt_d,16
dd_over_ppent_d,16
dd_over_lt_d,16
dd_over_lct_d,16
dd_over_dltt,16
dd_over_dltt_d,16
dd_over_seq,16
dd_over_seq_d,16
dd_over_icapt_d,16
dd_over_cogs_d,16
dd_over_xsga_d,3
dd_over_emp_d,16
dd_d_over_icapt,16
dd1_over_act_d,16
dd1_over_invt,16
dd1_over_invt_d,16
dd1_over_dltt,16
dd1_over_ceq_d,3
dd1_over_mktcap_d,3
dd1_d_over_invt,16
dd1_d_over_dltt,16
dd1_pd_minus_pd_at,16
dd1_pd_minus_pd_invt,4
dd1_pd_minus_pd_dltt,16
dd1_pd_minus_pd_mktcap,16
dd2_over_dltt,16
dd2_over_sale_d,2
dd2_over_mktcap_d,16
dd2_d_over_invt,16
dd2_d_over_xsga,16
dd2_pd_minus_pd_dltt,16
dd2_pd_minus_pd_sale,16
dd2_pd_minus_pd_mktcap,16
dd3_over_dltt,16
dd3_over_mktcap_d,16
dd3_d_over_xsga,5
dd3_pd_minus_pd_dltt,18
dd3_pd_minus_pd_icapt,16
dd4_over_invt_d,16
dd4_over_dltt,16
dd4_over_dltt_d,16
dd4_over_mktcap_d,16
dd5_over_sale_d,16
dd5_over_mktcap_d,16
dd5_d_over_invt,16
diladj_over_act_d,16
diladj_over_invt_d,16
diladj_over_lct_d,15
diladj_over_dltt,15
diladj_over_dltt_d,15
diladj_over_ceq_d,2
diladj_over_mktcap_d,15
dlc_over_invt,6
dlc_over_invt_d,6
dlc_over_dltt,17
dlc_pd_minus_pd_at,5
dlc_pd_minus_pd_invt,15
dlc_pd_minus_pd_dltt,15
dlc_pd_minus_pd_mktcap,5
dlcch,15
dltis_over_invt,15
dltis_over_dltt,15
dltis_over_dltt_d,3
dltis_over_emp,15
dlto_over_act_d,15
dlto_over_invt,15
dlto_over_invt_d,15
dlto_over_dltt,5
dlto_over_seq_d,16
dlto_over_icapt,16
dlto_over_sale_d,16
dlto_over_mktcap_d,16
dlto_d_over_invt,16
dlto_d_over_dltt,17
dlto_pd_minus_pd_dltt,17
dlto_pd_minus_pd_icapt,17
dlto_pd_minus_pd_mktcap,17
dltp_over_act_d,17
dltp_over_invt,17
dltp_over_invt_d,17
dltp_over_lct_d,5
dltp_over_dltt_d,17
dltp_over_icapt_d,17
dltp_over_cogs_d,5
dltp_over_xsga_d,3
dltp_over_mktcap_d,17
dltp_d_over_invt,17
dltp_d_over_dltt,17
dltr_over_invt,17
dltr_over_dltt,17
dltr_over_mktcap,3
dltr_over_mktcap_d,4
dltr_d_over_invt,17
dltr_d_over_dltt,2
dltr_pd_minus_pd_invt,17
dltr_pd_minus_pd_dltt,17
dltr_pd_minus_pd_xsga,6
dltr_pd_minus_pd_mktcap,17
dm_over_act_d,17
dm_over_invt,17
dm_over_invt_d,17
dm_over_ppent_d,3
dm_over_lt_d,17
dm_over_dltt,6
dm_over_cogs_d,17
dm_over_xsga_d,2
dm_over_emp_d,6
dm_over_mktcap,6
dm_over_mktcap_pd,17
dm_pd_minus_pd_dltt,17
dm_pd_minus_pd_icapt,17
dm_pd_minus_pd_emp,17
dn_over_act_d,17
dn_over_invt,17
dn_over_invt_d,2
dn_over_ppent_d,17
dn_over_lt_d,2
dn_over_lct_d,18
dn_over_dltt,18
dn_over_dltt_d,18
dn_over_icapt_d,18
dn_over_cogs_d,18
dn_over_xsga_d,18
dn_over_emp_d,18
dn_over_mktcap,18
dn_d_over_mktcap,6
do_over_dltt_d,18
do_over_icapt,18
do_d_over_seq,19
donr_over_dltt,19
donr_over_dltt_d,19
donr_d_over_invt,19
dp_over_act,19
dp_over_act_d,5
dp_over_lt,19
dp_over_lct,19
dp_over_lct_d,3
dp_over_dltt_pd,6
dp_over_seq,19
dp_over_seq_pd,19
dp_over_sale_d,2
dp_over_cogs,19
dp_over_cogs_d,19
dp_over_emp_d,19
dp_over_mktcap_pd,5
dp_d_over_invt,19
dp_d_over_dltt,5
dp_d_over_mktcap,5
dp_pd_minus_pd_lt,19
dp_pd_minus_pd_xsga,19
dpact_pd,19
dpact_over_invt_pd,19
dpact_over_ppent_d,19
dpact_over_lt,5
dpact_over_lt_d,19
dpact_over_dltt,21
dpact_over_dltt_d,19
dpact_over_xsga_pd,19
dpact_d_over_invt,19
dpact_d_over_dltt,19
dpact_d_over_xsga,3
dpc_over_invt,19
dpc_over_invt_d,19
dpc_over_ppent,3
dpc_over_icapt,19
dpc_over_icapt_d,4
dpc_over_sale,19
dpc_over_xsga_d,3
dpc_over_emp_pd,19
dpc_d_over_ppent,19
dpc_d_over_xsga,3
dpc_pd_minus_pd_ppent,3
dpc_pd_minus_pd_sale,19
dpvieb_over_act_d,19
dpvieb_over_invt,19
dpvieb_over_lct,19
dpvieb_over_ceq,19
dpvieb_over_seq_d,6
dpvieb_over_cogs_d,19
dpvieb_over_emp_d,19
dpvieb_d_over_lt,3
dpvieb_d_over_ceq,2
dpvieb_d_over_cogs,3
dpvieb_d_over_emp,19
dpvieb_pd_minus_pd_ceq,6
drc_over_act_d,19
drc_over_invt,19
drc_over_invt_d,18
drc_over_ppent_d,18
drc_over_lt_d,18
drc_over_lct_d,18
drc_over_dltt,18
drc_over_dltt_d,18
drc_over_ceq_d,6
drc_over_icapt_d,5
drc_over_sale_d,18
drc_over_cogs_d,18
drc_over_xsga_d,18
drc_over_emp_d,18
drc_over_mktcap_d,18
drc_d_over_invt,18
drc_d_over_dltt,5
drlt_over_act_d,3
drlt_over_invt_d,4
drlt_over_ppent_d,18
drlt_over_lct_d,3
drlt_over_dltt,20
drlt_over_icapt_d,20
drlt_over_sale,20
drlt_over_sale_d,6
drlt_over_xsga_d,20
drlt_over_emp_d,20
drlt_d_over_invt,20
drlt_d_over_lct,2
drlt_d_over_dltt,20
ds_over_at_d,20
ds_over_act_d,20
ds_over_invt,20
ds_over_invt_d,4
ds_over_ppent_d,20
ds_over_lt_d,20
ds_over_lct_d,20
ds_over_dltt,20
ds_over_dltt_d,20
ds_over_seq_d,20
ds_over_icapt_d,20
ds_over_sale_d,20
ds_over_xsga_d,20
ds_over_emp_d,20
ds_over_mktcap,20
ds_over_mktcap_d,20
ds_d_over_seq,20
dudd_over_act_d,3
dudd_over_invt_d,20
dudd_over_lt_d,20
dudd_over_lct_d,20
dudd_over_dltt,20
dudd_over_dltt_d,20
dudd_over_seq_d,7
dudd_over_cogs_d,20
dudd_over_xsga,20
dudd_over_xsga_d,20
dudd_over_mktcap_d,20
dudd_d_over_invt,6
dv_over_at_d,20
dv_over_act_d,20
dv_over_invt_d,6
dv_over_ppent,4
dv_over_ppent_d,20
dv_over_lt_d,20
dv_over_lct_d,20
dv_over_dltt,20
dv_over_dltt_d,20
dv_over_seq_d,20
dv_over_icapt_d,4
dv_over_sale_d,20
dv_over_xsga_d,20
dv_over_emp_d,20
dv_over_mktcap_d,20
dv_d_over_xsga,20
dvc_over_invt,20
dvc_over_invt_d,20
dvc_over_sale_d,22
dvc_over_mktcap,6
dvp_over_at_d,20
dvp_over_act_d,3
dvp_over_invt_d,3
dvp_over_ppent_d,20
dvp_over_lt_d,20
dvp_over_lct_d,20
dvp_over_dltt_d,3
dvp_over_ceq_d,4
dvp_over_cogs_d,20
dvp_over_xsga_d,20
dvp_over_emp_d,21
dvp_over_mktcap_d,21
dvp_d_over_invt,6
dvp_d_over_ceq,2
dvp_d_over_xsga,21
dvpa_over_act,21
dvpa_over_invt,21
dvpa_over_invt_d,2
dvpa_over_lct_d,21
dvpa_over_dltt_d,3
dvpa_over_ceq,21
dvpa_over_sale,21
dvpa_over_cogs_d,4
dvpa_over_xsga,21
dvpa_over_emp,21
dvpa_over_emp_d,21
dvpa_d_over_invt,21
dvpa_d_over_ceq,21
dvpa_d_over_seq,21
dvpa_d_over_mktcap,21
dvt_over_at_d,21
dvt_over_act_d,21
dvt_over_ppent_d,21
dvt_over_lt_d,21
dvt_over_lct_d,21
dvt_over_dltt_d,21
dvt_over_ceq_d,21
dvt_over_seq,21
dvt_over_icapt_d,21
dvt_over_cogs_d,21
dvt_over_xsga_d,21
dvt_over_emp_d,21
dvt_over_mktcap_d,3
dvt_d_over_xsga,21
dxd2_over_invt,21
dxd2_over_invt_d,21
dxd2_over_dltt,21
dxd2_over_dltt_d,21
dxd2_over_ceq_d,21
dxd2_over_mktcap,21
dxd2_over_mktcap_d,21
dxd2_d_over_ceq,21
dxd3_over_invt,21
dxd3_over_ppent_d,21
dxd3_over_dltt,21
dxd3_over_dltt_d,21
dxd3_over_ceq_d,21
dxd3_over_mktcap,3
dxd3_d_over_invt,21
dxd4_over_invt,21
dxd4_over_dltt,6
dxd4_over_dltt_d,21
dxd4_over_ceq_d,21
dxd4_over_emp_d,2
dxd4_over_mktcap,21
dxd4_over_mktcap_d,21
dxd4_d_over_invt,21
dxd5_over_invt,21
dxd5_over_invt_d,21
dxd5_over_lct_d,21
dxd5_over_dltt,6
dxd5_over_dltt_d,21
dxd5_over_xsga,21
dxd5_over_mktcap_d,21
dxd5_d_over_seq,21
ebit_pd,21
ebit_over_invt_d,21
ebit_over_invt_pd,21
ebit_over_ppent_d,21
ebit_over_lt_d,21
ebit_over_lct_d,21
ebit_over_dltt_d,21
ebit_over_xsga_d,21
