feature,ranking
xint_over_mktcap_pd,1
xopr,1
xpr_over_sale_d,1
xpr_over_mktcap,1
xpr_over_mktcap_pd,1
xrd_over_mktcap,1
xrd_over_mktcap_pd,1
xrd_pd_minus_pd_lt,1
xrd_pd_minus_pd_emp,1
xrent_over_xsga,1
