feature,ranking
intpn_pd_minus_pd_lct,1
invch_over_dltt,1
invch_over_dltt_d,1
invch_over_mktcap_d,1
invch_d_over_dltt,1
invfg_over_lt_d,1
invfg_over_mktcap,1
invfg_d_over_dltt,1
invo_over_at_d,1
invo_over_act,1
invo_over_lt_d,1
invo_over_dltt_d,1
invo_over_icapt_d,1
invo_over_cogs_d,1
invo_over_xsga_d,1
invo_over_emp_d,1
invrm_over_act_d,1
invrm_over_lt_d,1
invrm_over_ceq_d,1
invrm_over_icapt_d,1
invrm_over_mktcap,1
invrm_over_mktcap_d,1
invrm_d_over_xsga,1
invwip_over_at_d,1
invwip_over_lct_d,1
invwip_over_xsga_d,1
invwip_over_emp_d,1
invwip_over_mktcap,1
invwip_over_mktcap_d,1
invwip_d_over_cogs,1
itcb_over_act_d,1
itcb_over_dltt,1
itcb_over_cogs_d,1
itcb_over_mktcap_d,1
itci_over_at_d,1
itci_over_ppent_d,1
itci_over_mktcap_d,1
ivaeq_over_lt_d,1
ivaeq_over_ceq_d,1
ivaeq_over_emp_d,1
ivaeq_over_mktcap_d,1
ivao_over_dltt,1
ivao_over_dltt_d,1
ivao_over_mktcap,1
ivch_d_over_xsga,1
ivncf,1
ivncf_over_ppent,1
ivncf_over_xsga,1
ivncf_over_mktcap,1
ivncf_d_over_xsga,1
ivst_over_lt_d,1
ivst_over_dltt,1
ivst_over_sale,1
ivstch_over_invt,1
ivstch_over_emp,1
ivstch_d_over_invt,1
ivstch_d_over_dltt,1
ivstch_d_over_emp,1
lco_over_lt_d,1
lco_over_lct,1
lco_over_dltt_pd,1
lco_over_xsga,1
lco_over_mktcap,1
lco_pd_minus_pd_invt,1
lco_pd_minus_pd_ppent,1
lcox_over_lct_d,1
lcox_over_ceq_d,1
lcox_over_cogs_pd,1
lcox_over_mktcap_pd,1
lcoxdr_over_act_d,1
lcoxdr_over_invt,1
lcoxdr_over_invt_d,1
lcoxdr_over_lt_d,1
lcoxdr_over_lct_d,1
lcoxdr_over_ceq_d,1
lcoxdr_over_mktcap_d,1
lcoxdr_over_mktcap_pd,1
lcoxdr_d_over_ceq,1
lifr_over_lt_d,1
lifr_over_icapt_d,1
lifr_over_xsga_d,1
lifr_over_mktcap,1
lo_over_xsga,1
lo_over_mktcap_d,1
lo_pd_minus_pd_cogs,1
loxdr_over_at_pd,1
loxdr_over_invt,1
loxdr_over_ppent_d,1
loxdr_over_lt_d,1
loxdr_over_seq,1
loxdr_over_emp,1
loxdr_d_over_seq,1
lse_over_emp_d,1
mib_over_lt_d,1
mib_over_dltt_d,1
mii_over_dltt_d,1
mii_over_ceq,1
mii_over_mktcap_d,1
mii_d_over_xsga,1
mrc1_over_at_d,1
mrc1_over_act_d,1
mrc1_over_invt,1
mrc1_over_invt_d,1
mrc1_over_ppent,1
mrc1_over_lt_d,1
mrc1_over_seq_pd,1
mrc1_over_emp_d,1
mrc1_over_mktcap_d,1
mrc1_d_over_xsga,1
mrc1_pd_minus_pd_lct,1
mrc2_over_dltt_d,1
mrc2_d_over_invt,1
mrc2_d_over_ppent,1
mrc2_pd_minus_pd_xsga,1
mrc3_over_mktcap_d,1
mrc3_d_over_dltt,1
mrc3_pd_minus_pd_at,1
mrc3_pd_minus_pd_invt,1
mrc3_pd_minus_pd_ppent,1
mrc4_over_invt_d,1
mrc4_over_dltt_d,1
mrc4_over_cogs_d,1
mrc4_d_over_xsga,1
mrc4_pd_minus_pd_invt,1
mrc4_pd_minus_pd_dltt,1
mrc4_pd_minus_pd_ceq,1
mrc4_pd_minus_pd_sale,1
mrc5_over_at_d,1
mrc5_over_act_d,1
mrc5_over_invt_pd,1
mrc5_over_emp_d,1
mrc5_over_mktcap_d,1
mrc5_over_mktcap_pd,1
mrc5_d_over_invt,1
mrc5_d_over_dltt,1
mrct_over_ppent_d,1
mrct_over_lct,1
mrct_over_lct_d,1
mrct_over_icapt_pd,1
mrct_over_sale_d,1
mrct_over_cogs,1
mrct_over_xsga_d,1
mrct_over_emp_pd,1
mrct_d_over_invt,1
mrct_d_over_dltt,1
mrct_d_over_xsga,1
mrct_pd_minus_pd_act,1
mrct_pd_minus_pd_lt,1
mrct_pd_minus_pd_cogs,1
msa_over_dltt,1
msa_over_sale,1
ni_over_dltt_d,1
niadj_over_emp_d,1
niadj_over_mktcap_d,1
niadj_d_over_dltt,1
niadj_pd_minus_pd_dltt,1
nopi,1
nopi_over_invt,1
nopi_over_lt_d,1
nopi_over_mktcap_d,1
nopio_over_dltt,1
nopio_over_xsga_d,1
nopio_over_mktcap,1
nopio_d_over_ceq,1
nopio_pd_minus_pd_icapt,1
np_over_invt,1
np_over_dltt,1
np_over_mktcap_d,1
oancf,1
oancf_over_act,1
oancf_over_dltt,1
oancf_over_dltt_d,1
oancf_over_seq,1
oancf_over_cogs,1
oancf_over_xsga,1
oancf_over_emp,1
oancf_over_mktcap,1
oancf_over_mktcap_d,1
oancf_over_mktcap_pd,1
oancf_d_over_icapt,1
oancf_pd_minus_pd_seq,1
oancf_pd_minus_pd_cogs,1
oiadp,1
oiadp_over_ppent,1
oiadp_d_over_xsga,1
oiadp_d_over_mktcap,1
oibdp_over_at,1
oibdp_over_lct,1
pi_pd,1
pi_over_invt,1
pi_over_invt_pd,1
pi_over_lct_d,1
pi_over_dltt,1
pi_over_dltt_pd,1
pi_over_ceq_d,1
pi_over_seq,1
pi_over_cogs_d,1
pi_over_xsga,1
pi_over_mktcap,1
pi_d_over_mktcap,1
pidom,1
pidom_over_ppent,1
ppegt_over_xsga_d,1
ppegt_over_emp_d,1
ppegt_d_over_sale,1
ppegt_d_over_xsga,1
ppegt_d_over_mktcap,1
ppeveb_over_seq_pd,1
ppeveb_over_icapt_d,1
ppeveb_over_sale_d,1
ppeveb_d_over_dltt,1
prstkc_over_mktcap,1
pstk_over_icapt_d,1
pstk_over_sale_d,1
pstk_d_over_lt,1
pstkc_over_at_d,1
pstkc_over_invt_d,1
pstkc_over_lct_d,1
pstkc_over_dltt,1
pstkc_over_mktcap_d,1
pstkc_d_over_lt,1
pstkl_over_act_d,1
pstkl_over_emp_d,1
pstkl_d_over_lt,1
pstkn_over_at_d,1
pstkn_over_dltt_d,1
pstkn_over_mktcap_d,1
pstkn_d_over_xsga,1
pstkr_over_act_d,1
pstkr_over_ppent_d,1
pstkr_over_dltt_d,1
pstkr_over_seq_d,1
pstkr_over_icapt_d,1
pstkr_over_sale,1
pstkr_over_xsga_d,1
pstkr_d_over_cogs,1
rdip_over_lt,1
rdip_d_over_dltt,1
re_over_act_pd,1
re_over_ppent_d,1
re_over_lt_d,1
re_over_sale_d,1
re_over_emp_pd,1
re_over_mktcap_d,1
re_d_over_mktcap,1
recch,1
recch_over_dltt_d,1
recch_over_sale,1
recch_over_mktcap_d,1
recco_over_act_d,1
recco_over_sale_d,1
recco_over_mktcap_d,1
recco_d_over_dltt,1
recco_d_over_xsga,1
recd_over_sale,1
recd_over_mktcap,1
recd_d_over_ceq,1
recd_pd_minus_pd_act,1
recd_pd_minus_pd_lt,1
recd_pd_minus_pd_cogs,1
recd_pd_minus_pd_xsga,1
rect_over_at_d,1
rect_over_act_pd,1
rect_over_invt,1
rect_over_lct,1
rect_over_sale,1
rect_over_cogs,1
rect_over_xsga,1
rect_pd_minus_pd_xsga,1
recta,1
recta_over_mktcap_d,1
rectr_over_act_d,1
rectr_over_ppent_pd,1
rectr_over_lt,1
rectr_over_ceq_pd,1
rectr_over_seq,1
rectr_over_emp,1
rectr_over_mktcap_pd,1
rectr_pd_minus_pd_dltt,1
rectr_pd_minus_pd_emp,1
reuna_over_at_d,1
reuna_over_dltt,1
