feature,ranking
dlto_pd_minus_pd_dltt,11
dlto_pd_minus_pd_icapt,11
dlto_pd_minus_pd_mktcap,11
dltp_over_act_d,11
dltp_over_invt,11
dltp_over_invt_d,11
dltp_over_dltt_d,11
dltp_over_icapt_d,11
dltp_over_mktcap_d,11
dltp_d_over_invt,11
dltp_d_over_dltt,11
dltr_over_invt,11
dltr_over_dltt,11
dltr_d_over_invt,11
dltr_pd_minus_pd_invt,11
dltr_pd_minus_pd_dltt,11
dltr_pd_minus_pd_mktcap,11
dm_over_act_d,11
dm_over_invt,11
dm_over_invt_d,11
dm_over_lt_d,11
dm_over_cogs_d,11
dm_over_mktcap_pd,11
dm_pd_minus_pd_dltt,11
dm_pd_minus_pd_icapt,11
dm_pd_minus_pd_emp,11
dn_over_act_d,11
dn_over_invt,11
dn_over_ppent_d,11
dn_over_lct_d,11
dn_over_dltt,12
dn_over_dltt_d,12
dn_over_icapt_d,12
dn_over_cogs_d,12
dn_over_xsga_d,12
dn_over_emp_d,12
dn_over_mktcap,12
do_over_dltt_d,12
do_over_icapt,12
do_d_over_seq,12
donr_over_dltt,13
donr_over_dltt_d,13
donr_d_over_invt,13
dp_over_act,13
dp_over_lt,13
dp_over_lct,13
dp_over_seq,13
dp_over_seq_pd,13
dp_over_cogs,13
dp_over_cogs_d,13
dp_over_emp_d,13
dp_d_over_invt,13
dp_pd_minus_pd_lt,13
dp_pd_minus_pd_xsga,13
dpact_pd,13
dpact_over_invt_pd,13
dpact_over_ppent_d,13
dpact_over_lt_d,13
dpact_over_dltt,15
dpact_over_dltt_d,13
dpact_over_xsga_pd,13
dpact_d_over_invt,13
dpact_d_over_dltt,13
dpc_over_invt,13
dpc_over_invt_d,13
dpc_over_icapt,13
dpc_over_sale,13
dpc_over_emp_pd,13
dpc_d_over_ppent,13
dpc_pd_minus_pd_sale,13
dpvieb_over_act_d,13
dpvieb_over_invt,13
dpvieb_over_lct,13
dpvieb_over_ceq,13
dpvieb_over_cogs_d,13
dpvieb_over_emp_d,13
dpvieb_d_over_emp,13
drc_over_act_d,13
drc_over_invt,13
drc_over_invt_d,13
drc_over_ppent_d,12
drc_over_lt_d,12
drc_over_lct_d,12
drc_over_dltt,12
drc_over_dltt_d,12
drc_over_sale_d,12
drc_over_cogs_d,12
drc_over_xsga_d,12
drc_over_emp_d,12
drc_over_mktcap_d,12
drc_d_over_invt,12
drlt_over_ppent_d,12
drlt_over_dltt,14
drlt_over_icapt_d,14
drlt_over_sale,14
drlt_over_xsga_d,14
drlt_over_emp_d,14
drlt_d_over_invt,14
drlt_d_over_dltt,14
ds_over_at_d,14
ds_over_act_d,14
ds_over_invt,14
ds_over_ppent_d,14
ds_over_lt_d,14
ds_over_lct_d,14
ds_over_dltt,14
ds_over_dltt_d,14
ds_over_seq_d,14
ds_over_icapt_d,14
ds_over_sale_d,14
ds_over_xsga_d,14
ds_over_emp_d,14
ds_over_mktcap,14
ds_over_mktcap_d,14
ds_d_over_seq,14
dudd_over_invt_d,14
dudd_over_lt_d,14
dudd_over_lct_d,14
dudd_over_dltt,14
dudd_over_dltt_d,14
dudd_over_cogs_d,14
dudd_over_xsga,14
dudd_over_xsga_d,14
dudd_over_mktcap_d,14
dv_over_at_d,14
dv_over_act_d,14
dv_over_ppent_d,14
dv_over_lt_d,14
dv_over_lct_d,14
dv_over_dltt,14
dv_over_dltt_d,14
dv_over_seq_d,14
dv_over_sale_d,14
dv_over_xsga_d,14
dv_over_emp_d,14
dv_over_mktcap_d,14
dv_d_over_xsga,14
dvc_over_invt,14
dvc_over_invt_d,14
dvc_over_sale_d,16
dvp_over_at_d,14
dvp_over_ppent_d,14
dvp_over_lt_d,14
dvp_over_lct_d,14
dvp_over_cogs_d,14
dvp_over_xsga_d,15
dvp_over_emp_d,15
dvp_over_mktcap_d,15
dvp_d_over_xsga,15
dvpa_over_act,15
dvpa_over_invt,15
dvpa_over_lct_d,15
dvpa_over_ceq,15
dvpa_over_sale,15
dvpa_over_xsga,15
dvpa_over_emp,15
dvpa_over_emp_d,15
dvpa_d_over_invt,15
dvpa_d_over_ceq,15
dvpa_d_over_seq,15
dvpa_d_over_mktcap,15
dvt_over_at_d,15
dvt_over_act_d,15
dvt_over_ppent_d,15
dvt_over_lt_d,15
dvt_over_lct_d,15
dvt_over_dltt_d,15
dvt_over_ceq_d,15
dvt_over_seq,15
dvt_over_icapt_d,15
dvt_over_cogs_d,15
dvt_over_xsga_d,15
dvt_over_emp_d,15
dvt_d_over_xsga,15
dxd2_over_invt,15
dxd2_over_invt_d,15
dxd2_over_dltt,15
dxd2_over_dltt_d,15
dxd2_over_ceq_d,15
dxd2_over_mktcap,15
dxd2_over_mktcap_d,15
dxd2_d_over_ceq,15
dxd3_over_invt,15
dxd3_over_ppent_d,15
dxd3_over_dltt,15
dxd3_over_dltt_d,15
dxd3_over_ceq_d,15
dxd3_d_over_invt,15
dxd4_over_invt,15
dxd4_over_dltt_d,15
dxd4_over_ceq_d,15
dxd4_over_mktcap,15
dxd4_over_mktcap_d,15
dxd4_d_over_invt,15
dxd5_over_invt,15
dxd5_over_invt_d,15
dxd5_over_lct_d,15
dxd5_over_dltt_d,15
dxd5_over_xsga,15
dxd5_over_mktcap_d,15
dxd5_d_over_seq,15
ebit_pd,15
ebit_over_invt_d,15
ebit_over_invt_pd,15
ebit_over_ppent_d,15
ebit_over_lt_d,15
ebit_over_lct_d,15
ebit_over_dltt_d,15
ebit_over_xsga_d,15
ebit_d_over_invt,15
ebit_d_over_dltt,15
ebitda_over_dltt,15
ebitda_over_dltt_pd,15
ebitda_over_cogs,15
ebitda_over_emp,15
ebitda_over_mktcap_pd,15
ebitda_pd_minus_pd_act,15
ebitda_pd_minus_pd_ppent,15
